Harga Produk,Jumlah Terjual,Jumlah Ulasan,Kategori,Nama Produk,Rating,Rating Produk,Tanggal Komentar,Teks Ulasan,Username,Panjang Ulasan (karakter),Panjang Ulasan (kata)
52.000,100.0,29.0,1,Erigo T-Shirt Embro Vanderson Maroon - Kaos Unisex - S,5.0,4.8,2025-03-25 18:04:09.701257,"sesuai deskripsi, bahan adem, ukiran pas banget sesuai sama size chart nya. mantapp",A***a,83,13
52.000,100.0,29.0,1,Erigo T-Shirt Embro Vanderson Maroon - Kaos Unisex - S,5.0,4.8,2025-07-07 18:04:09.701291,"bagus tapi ya sesuai harga 45, berharap kaos seperti apa",B***i,56,10
52.000,100.0,29.0,1,Erigo T-Shirt Embro Vanderson Maroon - Kaos Unisex - S,5.0,4.8,2025-01-28 18:04:09.701298,"Ukuran pas, bahan lumayan",R***r,25,4
52.000,100.0,29.0,1,Erigo T-Shirt Embro Vanderson Maroon - Kaos Unisex - S,5.0,4.8,2024-09-16 18:04:09.701303,Menurut saya ini sangat jelek bahan panas,B***m,41,7
52.000,100.0,29.0,1,Erigo T-Shirt Embro Vanderson Maroon - Kaos Unisex - S,5.0,4.8,2025-03-27 18:04:09.701308,Kualitas produk: Bagus,B***t,22,3
52.000,100.0,29.0,1,Erigo T-Shirt Embro Vanderson Maroon - Kaos Unisex - S,5.0,4.8,2024-09-11 18:04:09.701313,bagus dan pas bgt,H***c,17,4
52.000,100.0,29.0,1,Erigo T-Shirt Embro Vanderson Maroon - Kaos Unisex - S,5.0,4.8,2025-05-09 18:04:09.701317,Nyaman,M***l,6,1
52.000,100.0,29.0,1,Erigo T-Shirt Embro Vanderson Maroon - Kaos Unisex - S,5.0,4.8,2024-11-17 18:04:09.701323,Barang bagus,D***i,12,2
52.000,100.0,29.0,1,Erigo T-Shirt Embro Vanderson Maroon - Kaos Unisex - S,5.0,4.8,2025-02-08 18:04:09.701329,Barang ok,W***l,9,2
52.000,100.0,29.0,1,Erigo T-Shirt Embro Vanderson Maroon - Kaos Unisex - S,5.0,4.8,2024-12-19 18:04:09.701334,Sesuai harga☺,V***d,13,2
166.000,250.0,55.0,7,Erigo Chino Short Flexi Fit Neddy Sand - Celana Pendek Chino Unisex - 28,5.0,4.9,2024-10-01 18:04:09.701344,Sudah sampe dengan baik celana chino pendek warna olive ori 100% erigo.,T***S,71,12
166.000,250.0,55.0,7,Erigo Chino Short Flexi Fit Neddy Sand - Celana Pendek Chino Unisex - 28,5.0,4.9,2025-05-29 18:04:09.701348,Packing aman pengiriman cepat bagang sesuai pesanan kualitas lumayan,T***S,68,9
166.000,250.0,55.0,7,Erigo Chino Short Flexi Fit Neddy Sand - Celana Pendek Chino Unisex - 28,5.0,4.9,2025-06-13 18:04:09.701353,Paket sudah sampai Bahan adem nyaman di pakai next order lagi,O***q,61,11
166.000,250.0,55.0,7,Erigo Chino Short Flexi Fit Neddy Sand - Celana Pendek Chino Unisex - 28,5.0,4.9,2024-12-06 18:04:09.701357,bahan bagus jahitan bagus seller fast respon,Hari,44,7
166.000,250.0,55.0,7,Erigo Chino Short Flexi Fit Neddy Sand - Celana Pendek Chino Unisex - 28,5.0,4.9,2024-11-19 18:04:09.701361,Kualitas produk: Sesuai gambar bagus dan saya suka celannya🥰😍,T***S,61,9
166.000,250.0,55.0,7,Erigo Chino Short Flexi Fit Neddy Sand - Celana Pendek Chino Unisex - 28,5.0,4.9,2024-08-14 18:04:09.701366,Sudah sering beli celana dr erigo. Udah plg pas soal ukuran,O***_,59,11
166.000,250.0,55.0,7,Erigo Chino Short Flexi Fit Neddy Sand - Celana Pendek Chino Unisex - 28,5.0,4.9,2025-05-26 18:04:09.701370,Mantap kain nya adem size nya sesuai badan,s***a,42,8
166.000,250.0,55.0,7,Erigo Chino Short Flexi Fit Neddy Sand - Celana Pendek Chino Unisex - 28,5.0,4.9,2024-10-21 18:04:09.701375,"Bagus,, sudah langganan juga,, cuma warna beda sama yg difoto",F***.,61,10
166.000,250.0,55.0,7,Erigo Chino Short Flexi Fit Neddy Sand - Celana Pendek Chino Unisex - 28,5.0,4.9,2025-01-02 18:04:09.701379,Bagus banget barangnya nyaman dipakai,A****,37,5
166.000,250.0,55.0,7,Erigo Chino Short Flexi Fit Neddy Sand - Celana Pendek Chino Unisex - 28,5.0,4.9,2025-03-04 18:04:09.701384,Kancing nya lepas 22 nya . Ini kaya bukan erigo. Biasany bagus yg ini beda banget,w***g,81,16
140.000,60.0,2.0,2,"Erigo Short Shirt Pocket Danvin Teracotta - Kemeja Lengan Pendek Rayon Unisex - Size, S",5.0,4.2,2025-06-20 18:04:09.701388,"bahan adem, nyaman banget
ukuran L tinggi 169 bb 75
pas ga kegedean",A***r,67,13
140.000,60.0,2.0,2,"Erigo Short Shirt Pocket Danvin Teracotta - Kemeja Lengan Pendek Rayon Unisex - Size, S",5.0,4.2,2025-04-20 18:04:09.701392,Bahanya alus adem sizenya pas banget juga kacaw emang erigo mah kalo kata gua,p***,77,14
140.000,60.0,2.0,2,"Erigo Short Shirt Pocket Danvin Teracotta - Kemeja Lengan Pendek Rayon Unisex - Size, S",5.0,4.2,2024-12-05 18:04:09.701396,"Sesuai
Kualitas produk: Baik sekali",E****,35,5
140.000,60.0,2.0,2,"Erigo Short Shirt Pocket Danvin Teracotta - Kemeja Lengan Pendek Rayon Unisex - Size, S",5.0,4.2,2025-03-10 18:04:09.701401,Kualitas produk: 👍🏻👍🏻,Y****,21,3
140.000,60.0,2.0,2,"Erigo Short Shirt Pocket Danvin Teracotta - Kemeja Lengan Pendek Rayon Unisex - Size, S",5.0,4.2,2025-07-09 18:04:09.701405,tidak bisa di ganti ukurqn nya hiksss 🤔🫠😭😭😭,Q***e,43,8
140.000,60.0,2.0,2,"Erigo Short Shirt Pocket Danvin Teracotta - Kemeja Lengan Pendek Rayon Unisex - Size, S",5.0,4.2,2024-08-15 18:04:09.701409,bagus,T***k,5,1
140.000,60.0,2.0,2,"Erigo Short Shirt Pocket Danvin Teracotta - Kemeja Lengan Pendek Rayon Unisex - Size, S",5.0,4.2,2024-07-21 18:04:09.701414,oke,A***a,3,1
140.000,60.0,2.0,2,"Erigo Short Shirt Pocket Danvin Teracotta - Kemeja Lengan Pendek Rayon Unisex - Size, S",5.0,4.2,2025-05-23 18:04:09.701418,Oke,F***_,3,1
140.000,60.0,2.0,2,"Erigo Short Shirt Pocket Danvin Teracotta - Kemeja Lengan Pendek Rayon Unisex - Size, S",5.0,4.2,2025-05-18 18:04:09.701422,Good,T***a,4,1
